Himno del abogado,Alirio Abreu,1,SCTB - Himno,Estante 1 - G1
La guacharaca,I. capriles,2,SAT - Aire de joropo,Estante 1 - G1
Dame una ilusion,Modesta Bor,1,SCTB- Vals Lento,Estante 1 - G1
America Insurrecta,Anónimo,1,SCTB,Estante 1 - G1
Dadme Albricias,Anónimo,1,SCTB,Estante 1 - G1
Espera,H. Oramatges,1,SCTB,Estante 1 - G1
Doña Ubensa,Chacho Echenique,1,SCTB - Huayna,Estante 1 - G1
Del prado vengo,Vivian Tabbush,1,SCTB - Huayna,Estante 1 - G1
Dulce embeleso,Miguel Garcia,1,SCTB - Bolero,Estante 1 - G1
Dona'm la mia,Josep Criville',1,SCTB - Madrigal italiano,Estante 1 - G1
Nocturno,Eduardo Plaza,1,SSA - A Capella,Estante 1 - G1
Dos cantos ,Gerardo Guevara,1,SCTB - Popular ecuador,Estante 1 - G1
El rio Guadalquivir,Vicente Emilio Sojo,1,SCTB - Madrigal,Estante 1 - G1
El alcavaran ,Simón Díaz,2,SCTB - Popular,Estante 1 - G1
Eres alta y delgada,Ansel Barja,1,SCTB - Popular,Estante 1 - G1
Caramba,Vicente Emilio Sojo,1,SCTB - Merengue,Estante 1 - G1
Eres como la nieve,Cristobal Haltfeen,1,SCTB,Estante 1 - G1
Bambuco,Leoncio Ramirez,12,SCTB,Estante 1 - G1
"Innsbruck, ich mub dich lassen",Heirinch Isaac,1,SCTB,Estante 1 - G1
A tu lado,Javier Busto,15,SCTB - Habanera,Estante 1 - G1
Athens ,Luca Marangro,2,Madrigal,Estante 1 - G1
Amanecer ,Vicente Emilio Sojo,4,Madrigal,Estante 1 - G1
Acidito,Anónimo,50,Merengue,Estante 1 - G1
Coplas de cuna,Emma Perez,50,SCTB,Estante 1 - G1
Adios Mariposita,E. Castellano,1,SCTB - Madrigal,Estante 1 - G1
Hay luces entre los arboles,Fernando Paz,1,SCTB - Madrigal,Estante 1 - G1
La cachua,Veto Valderrama,1,SCTB - Madrigal,Estante 1 - G1
Annelein,Orlando Di Lasso,1,SCTB - Cancion Alemana,Estante 1 - G1
Beautiful Dreamer,Roger Luagne,1,SCTB,Estante 1 - G1
Carimbo,Arranjo Ennert,1,SCTB,Estante 1 - G1
Gloria,Athos palma,1,SCTB,Estante 1 - G1
Gloria,Anónimo,20,SCTB,Estante 1 - G1
Alleluia ,William B.,1,SCTB,Estante 1 - G1
Exsultate Iusti In Domino,Juan Gutierrez,1,SCTB,Estante 1 - G1
Eram Guasi Agnus,Anónimo,1,SCTB,Estante 1 - G1
Agnus Dei ,"Willia, Byrd",1,SCTB,Estante 1 - G1
Aquí te amo ,Pablo Nerudo,1,SCTB - Madrigal,Estante 1 - G1
Jerusalem,William Blake,5,SCTB,Estante 1 - G1
Dios Inmortal ,F. Guerrero,1,SCTB,Estante 1 - G1
Jacob Arcadelt,Anónimo,3,SCTB - Madrigal,Estante 1 - G1
La barca de oro ,Francisco Zapato,1,SCTB,Estante 1 - G1
Dedicatione ,Anónimo,1,SCTB,Estante 1 - G1
Alma dei Creatoris,Wolfgang Amadeus Mozart,1,SCTB,Estante 1 - G1
Ein Festa bung Ist Unser Gott,Jungere Leipziger Fassung,1,SCTB,Estante 1 - G1
Egli Eil Tuo Bon Jesu,Fra' Dionisius,20,SCTB,Estante 1 - G1
"Avec Du Vin, Endormons nous",Rameau,1,SCTB,Estante 1 - G1
Ehre sei de christe,Anónimo,1,SCTB,Estante 1 - G1
Canto de Ossanha,Anónimo,1,SCTB,Estante 1 - G1
A song of peace,Jean Sibelius,3,SCTB,Estante 1 - G1
Virga Jesse,Anton Bruckner,1,SCTB,Estante 1 - G1
Ave Maria,Anton Bruckner,1,SCTB,Estante 1 - G1
Os Susti,Anton Bruckner,1,SCTB,Estante 1 - G1
Chorus,Anónimo,1,SCTB,Estante 1 - G1
Graduale ,Anton Bruckner,1,SCTB,Estante 1 - G1
Lacrymosa - Domine jesu,Anónimo,1,SCTB,Estante 1 - G1
El gavilan,Alberto Grau,1,SCTB - Madrigal,Estante 1 - G1
El gavan,Rafael Suarez,1,SCTB - Madrigal,Estante 1 - G1
Alla va un encobijao,Antonio Lauro,3,SCTB,Estante 1 - G1
Bailao,Heitor Villa-Lobos,1,SCTB,Estante 1 - G1
Café tostao y colao,Gilberto Rebolledo,1,SCTB,Estante 1 - G1
El noi de la mara,Ernesto Cervera,1,SCTB - Popular,Estante 1 - G1
Brisas del torbe,Rafael Suarez,1,SCTB - Madrigal,Estante 1 - G1
Arco Iris,Modesta Bor,1,SCTB,Estante 1 - G1
Inquietud,Luis G. Sanchez,1,SCTB,Estante 1 - G1
La mañana ajena,Fernando Rodriguez,2,SCTB - Madrigal,Estante 1 - G1
En avila mis ojos,Salas Viu,1,SCTB - Madrigal,Estante 1 - G1
Gloria In Excelsis Deo,Diego Duarte,1,SCTB - Sacro,Estante 1 - G1
